┌───────────────────────────────────────────────────┬──────────────────────────────────────────────────────┬────────────────┐
│                       title                       │                       authors                        │ average_rating │
├───────────────────────────────────────────────────┼──────────────────────────────────────────────────────┼────────────────┤
│ Willem de Kooning: Late Paintings                 │ Julie Sylvester/David Sylvester                      │ 5.00           │
│ Middlesex Borough (Images of America: New Jersey) │ Middlesex Borough Heritage Committee                 │ 5.00           │
│ Taxation of Mineral Rents                         │ Ross Garnaut                                         │ 5.00           │
│ The New Big Book of America                       │ Todd Davis/Marc Frey                                 │ 5.00           │
│ Fanning the Flame: Bible  Cross  and Mission      │ Chris    Green/Chris Wright/Paul Douglas Gardner     │ 5.00           │
│ Tyrannosaurus Wrecks (Stanley  #1)                │ Laura Driscoll/Alisa Klayman-Grodsky/Eric     Weiner │ 5.00           │
│ The Irish Anatomist: A Study of Flann O'Brien     │ Keith Donohue                                        │ 5.00           │
│ Existential Meditation                            │ Simon Cleveland                                      │ 4.91           │
│ Little Big Book for God's Children                │ Alice Wong/Lena Tabori                               │ 4.88           │
│ Corvette                                          │ Jerry Burton                                         │ 4.83           │
└───────────────────────────────────────────────────┴──────────────────────────────────────────────────────┴────────────────┘
