┌──────────────────────────────────────────────────┬────────┐
│                     authors                      │ rating │
├──────────────────────────────────────────────────┼────────┤
│ William C. Dowling                               │ 5.0    │
│ Todd Davis/Marc Frey                             │ 5.0    │
│ Sheri Rose Shepherd                              │ 5.0    │
│ Ross Garnaut                                     │ 5.0    │
│ Nicholas    Evans/Rhonda  Evans                  │ 5.0    │
│ Middlesex Borough Heritage Committee             │ 5.0    │
│ Keith Donohue                                    │ 5.0    │
│ Julie Sylvester/David Sylvester                  │ 5.0    │
│ James E. Campbell                                │ 5.0    │
│ Chris    Green/Chris Wright/Paul Douglas Gardner │ 5.0    │
└──────────────────────────────────────────────────┴────────┘
