┌────────────────────────────────────────────────┬──────────┬───────────┐
│                     title                      │ language │ num_pages │
├────────────────────────────────────────────────┼──────────┼───────────┤
│ Ángeles y demonios (Robert Langdon  #1)        │ spa      │ 508       │
│ Da Vinci Code (Robert Langdon  #2)             │ fre      │ 744       │
│ El Coleccionista De Huesos (Lincoln Rhyme  #1) │ spa      │ 640       │
│ Hyperion (Los Cantos de Hyperion  #1)          │ spa      │ 618       │
│ Endymion                                       │ fre      │ 572       │
│ El código Da Vinci (Robert Langdon  #2)        │ spa      │ 557       │
│ Monsieur Ibrahim et les fleurs du Coran        │ fre      │ 85        │
│ Chamán (Familia Cole  #2)                      │ spa      │ 768       │
│ V.                                             │ fre      │ 640       │
│ ¡Horton escucha a quién!                       │ spa      │ 64        │
│ Los Versos Satánicos                          │ spa      │ 679       │
│ El nombre de la rosa                           │ spa      │ 782       │
│ Insomnia                                       │ spa      │ 890       │
│ El Clan Del Oso Cavernario                     │ spa      │ 548       │
│ No me cogeréis vivo: artículos 2001-2005       │ spa      │ 537       │
└────────────────────────────────────────────────┴──────────┴───────────┘
